"Kuukausi","Hyödyke","Indeksipisteluku"
"2015M01","04.1 Todelliset asumisvuokrat",98.55
"2015M01","04.6.1.1 Osakehuoneistot ja kiinteistöt",99.69
"2015M02","04.1 Todelliset asumisvuokrat",98.86
"2015M02","04.6.1.1 Osakehuoneistot ja kiinteistöt",98.93
"2015M03","04.1 Todelliset asumisvuokrat",99.20
"2015M03","04.6.1.1 Osakehuoneistot ja kiinteistöt",98.93
"2015M04","04.1 Todelliset asumisvuokrat",99.56
"2015M04","04.6.1.1 Osakehuoneistot ja kiinteistöt",98.74
"2015M05","04.1 Todelliset asumisvuokrat",99.83
"2015M05","04.6.1.1 Osakehuoneistot ja kiinteistöt",99.11
"2015M06","04.1 Todelliset asumisvuokrat",100.06
"2015M06","04.6.1.1 Osakehuoneistot ja kiinteistöt",99.11
"2015M07","04.1 Todelliset asumisvuokrat",100.25
"2015M07","04.6.1.1 Osakehuoneistot ja kiinteistöt",99.47
"2015M08","04.1 Todelliset asumisvuokrat",100.44
"2015M08","04.6.1.1 Osakehuoneistot ja kiinteistöt",101.97
"2015M09","04.1 Todelliset asumisvuokrat",100.60
"2015M09","04.6.1.1 Osakehuoneistot ja kiinteistöt",101.97
"2015M10","04.1 Todelliset asumisvuokrat",100.75
"2015M10","04.6.1.1 Osakehuoneistot ja kiinteistöt",102.08
"2015M11","04.1 Todelliset asumisvuokrat",100.87
"2015M11","04.6.1.1 Osakehuoneistot ja kiinteistöt",99.97
"2015M12","04.1 Todelliset asumisvuokrat",100.97
"2015M12","04.6.1.1 Osakehuoneistot ja kiinteistöt",99.97
"2016M01","04.1 Todelliset asumisvuokrat",101.07
"2016M01","04.6.1.1 Osakehuoneistot ja kiinteistöt",99.73
"2016M02","04.1 Todelliset asumisvuokrat",101.31
"2016M02","04.6.1.1 Osakehuoneistot ja kiinteistöt",99.73
"2016M03","04.1 Todelliset asumisvuokrat",101.60
"2016M03","04.6.1.1 Osakehuoneistot ja kiinteistöt",99.41
"2016M04","04.1 Todelliset asumisvuokrat",101.90
"2016M04","04.6.1.1 Osakehuoneistot ja kiinteistöt",99.66
"2016M05","04.1 Todelliset asumisvuokrat",102.15
"2016M05","04.6.1.1 Osakehuoneistot ja kiinteistöt",100.54
"2016M06","04.1 Todelliset asumisvuokrat",102.33
"2016M06","04.6.1.1 Osakehuoneistot ja kiinteistöt",100.54
