,Vuosineljännes,Huoneluku,Neliöhinta (EUR/m2),Lukumäärä_x,Posti,Kaupunginosa_x,Kaupunki,Lukumäärä_y,Neliövuokra (eur/m2),Kaupunginosa_y,difference
31,2022Q4,Yksiöt,9249.0,10,00120,Punavuori-Bulevardi,Helsinki,193,29.26,Punavuori,316.1
63,2022Q4,Kaksiot,8551.0,13,00120,Punavuori-Bulevardi,Helsinki,84,22.84,Punavuori,374.39
95,2022Q4,Kolmiot+,8361.54,6,00120,Punavuori-Bulevardi,Helsinki,23,21.05,Punavuori,397.22
127,2022Q4,Yksiöt,10027.89,3,00130,Kaartinkaupunki,Helsinki,41,28.24,Kaartinkaupunki,355.1
159,2022Q4,Kaksiot,9843.92,5,00130,Kaartinkaupunki,Helsinki,.,24.96,Kaartinkaupunki,394.39
223,2022Q4,Yksiöt,9671.0,11,00140,Kaivopuisto-Ullanlinna,Helsinki,250,27.55,Kaivopuisto-Ullanlinna,351.03
255,2022Q4,Kaksiot,8571.0,6,00140,Kaivopuisto-Ullanlinna,Helsinki,78,21.16,Kaivopuisto-Ullanlinna,405.06
287,2022Q4,Kolmiot+,9661.0,19,00140,Kaivopuisto-Ullanlinna,Helsinki,.,17.48,Kaivopuisto-Ullanlinna,552.69
319,2022Q4,Yksiöt,7648.0,18,00150,Punavuori-Eira-Hernesaari,Helsinki,495,28.56,Eira-Hernesaari,267.79
351,2022Q4,Kaksiot,7717.0,15,00150,Punavuori-Eira-Hernesaari,Helsinki,159,23.29,Eira-Hernesaari,331.34
383,2022Q4,Kolmiot+,9883.0,12,00150,Punavuori-Eira-Hernesaari,Helsinki,53,25.22,Eira-Hernesaari,391.87
415,2022Q4,Yksiöt,8629.14,4,00160,Katajanokka,Helsinki,119,29.97,Katajanokka,287.93
447,2022Q4,Kaksiot,6547.0,5,00160,Katajanokka,Helsinki,.,24.67,Katajanokka,265.38
511,2022Q4,Yksiöt,8151.0,10,00170,Kruununhaka,Helsinki,207,27.93,Kruununhaka,291.84
543,2022Q4,Kaksiot,8690.0,14,00170,Kruununhaka,Helsinki,66,20.3,Kruununhaka,428.08
575,2022Q4,Kolmiot+,7875.0,11,00170,Kruununhaka,Helsinki,.,19.64,Kruununhaka,400.97
607,2022Q4,Yksiöt,8229.0,26,00180,Kamppi-Ruoholahti,Helsinki,364,27.39,Kamppi-Ruoholahti,300.44
639,2022Q4,Kaksiot,7447.0,24,00180,Kamppi-Ruoholahti,Helsinki,177,22.66,Kamppi-Ruoholahti,328.64
671,2022Q4,Kolmiot+,7308.0,41,00180,Kamppi-Ruoholahti,Helsinki,33,17.5,Kamppi-Ruoholahti,417.6
703,2022Q4,Yksiöt,7208.0,9,00200,Pohjois-Lauttasaari,Helsinki,497,26.43,Lauttasaari,272.72
735,2022Q4,Kaksiot,6882.0,33,00200,Pohjois-Lauttasaari,Helsinki,234,20.93,Lauttasaari,328.81
767,2022Q4,Kolmiot+,6879.0,27,00200,Pohjois-Lauttasaari,Helsinki,63,19.24,Lauttasaari,357.54
799,2022Q4,Yksiöt,7376.63,2,00210,Vattuniemi,Helsinki,66,24.07,Vattuniemi,306.47
