,Vuosineljännes,Huoneluku,Neliöhinta (EUR/m2),Lukumäärä_x,Posti,Kaupunginosa_x,Kaupunki,Lukumäärä_y,Neliövuokra (eur/m2),Kaupunginosa_y,difference
31,2022Q4,Yksiöt,9249.0,10,00120,Punavuori-Bulevardi,Helsinki,193,29.26,Punavuori,316.1
127,2022Q4,Yksiöt,10027.89,3,00130,Kaartinkaupunki,Helsinki,41,28.24,Kaartinkaupunki,355.1
223,2022Q4,Yksiöt,9671.0,11,00140,Kaivopuisto-Ullanlinna,Helsinki,250,27.55,Kaivopuisto-Ullanlinna,351.03
319,2022Q4,Yksiöt,7648.0,18,00150,Punavuori-Eira-Hernesaari,Helsinki,495,28.56,Eira-Hernesaari,267.79
415,2022Q4,Yksiöt,8629.14,4,00160,Katajanokka,Helsinki,119,29.97,Katajanokka,287.93
511,2022Q4,Yksiöt,8151.0,10,00170,Kruununhaka,Helsinki,207,27.93,Kruununhaka,291.84
607,2022Q4,Yksiöt,8229.0,26,00180,Kamppi-Ruoholahti,Helsinki,364,27.39,Kamppi-Ruoholahti,300.44
703,2022Q4,Yksiöt,7208.0,9,00200,Pohjois-Lauttasaari,Helsinki,497,26.43,Lauttasaari,272.72
799,2022Q4,Yksiöt,7376.63,2,00210,Vattuniemi,Helsinki,66,24.07,Vattuniemi,306.47
1087,2022Q4,Yksiöt,7217.0,28,00250,Taka-Töölö,Helsinki,579,28.15,Taka-Töölö,256.38
1183,2022Q4,Yksiöt,8903.0,7,00260,Keski-Töölö,Helsinki,202,27.23,Keski-Töölö,326.96
1279,2022Q4,Yksiöt,5822.0,6,00270,Pohjois-Meilahti,Helsinki,288,28.91,Pohjois-Meilahti,201.38
1375,2022Q4,Yksiöt,5919.04,2,00280,Ruskeasuo,Helsinki,52,25.99,Ruskeasuo,227.74
1567,2022Q4,Yksiöt,4438.02,.,00310,Kivihaka,Helsinki,26,22.94,Kivihaka,193.46
1663,2022Q4,Yksiöt,6108.0,15,00320,Etelä-Haaga,Helsinki,517,26.1,Etelä-Haaga,234.02
1759,2022Q4,Yksiöt,7177.93,4,00330,Munkkiniemi,Helsinki,188,26.37,Munkkiniemi,272.2
1855,2022Q4,Yksiöt,6299.0,7,00350,Munkkivuori-Niemenmäki,Helsinki,286,26.38,Munkkivuori-Niemenmäki,238.78
2047,2022Q4,Yksiöt,3821.81,.,00370,Reimarla,Helsinki,62,22.93,Reimarla,166.67
2143,2022Q4,Yksiöt,5005.79,1,00380,Pitäjänmäenyritysalue,Helsinki,.,25.64,Pitäjänmäenteollisuusalue,195.23
2239,2022Q4,Yksiöt,4983.21,2,00390,Konala,Helsinki,162,25.02,Konala,199.17
2335,2022Q4,Yksiöt,4375.0,6,00400,Pohjois-Haaga,Helsinki,297,27.33,Pohjois-Haaga,160.08
2527,2022Q4,Yksiöt,4077.76,4,00420,Kannelmäki,Helsinki,346,23.93,Kannelmäki,170.4
2719,2022Q4,Yksiöt,4886.13,2,00440,Lassila,Helsinki,96,22.97,Lassila,212.72
2815,2022Q4,Yksiöt,6720.0,32,00500,Sörnäinen-Harju,Helsinki,1284,27.33,Sörnäinen,245.88
2911,2022Q4,Yksiöt,6772.0,44,00510,Alppila-Vallila,Helsinki,758,27.35,Etu-Vallila-Alppila,247.61
3007,2022Q4,Yksiöt,6116.0,8,00520,Itä-jaKeski-Pasila,Helsinki,285,27.98,Itä-Pasila,218.58
3103,2022Q4,Yksiöt,6469.0,22,00530,Kallio,Helsinki,1095,26.33,Kallio,245.69
3199,2022Q4,Yksiöt,6857.02,6,00550,Vallila-Hermanni,Helsinki,360,24.68,Vallila,277.84
3295,2022Q4,Yksiöt,7091.72,3,00560,Toukola-Kumpula-Vanhakaupunki,Helsinki,131,26.22,Toukola-Vanhakaupunki,270.47
3391,2022Q4,Yksiöt,7924.94,3,00570,Kulosaari,Helsinki,76,25.14,Kulosaari,315.23
3679,2022Q4,Yksiöt,5659.54,5,00610,Käpylä,Helsinki,79,24.12,Käpylä,234.64
3871,2022Q4,Yksiöt,5080.35,1,00630,Maunula,Helsinki,93,24.72,Maunula-Suursuo,205.52
3967,2022Q4,Yksiöt,4161.59,5,00640,Oulunkylä-Patola,Helsinki,132,23.25,Oulunkylä-Patola,178.99
4159,2022Q4,Yksiöt,4323.39,5,00700,Malmi,Helsinki,160,23.52,Malmi,183.82
4255,2022Q4,Yksiöt,3951.98,3,00710,Pihlajamäki-Viikinmäki,Helsinki,198,22.22,Pihlajamäki,177.86
4351,2022Q4,Yksiöt,4398.73,3,00720,Pukinmäki,Helsinki,94,22.03,Pukinmäki-Savela,199.67
4447,2022Q4,Yksiöt,5422.0,4,00730,Tapanila,Helsinki,50,23.8,Tapanila,227.82
4543,2022Q4,Yksiöt,3888.97,2,00740,Siltamäki,Helsinki,41,21.59,Siltamäki,180.13
4927,2022Q4,Yksiöt,3670.44,.,00780,Tapaninvainio,Helsinki,31,20.99,Tapaninvainio,174.87
5119,2022Q4,Yksiöt,5732.0,9,00800,Länsi-Herttoniemi,Helsinki,93,24.27,Länsi-Herttoniemi,236.18
5215,2022Q4,Yksiöt,5793.49,28,00810,Herttoniemenranta,Helsinki,.,26.93,Herttoniemi,215.13
5311,2022Q4,Yksiöt,5542.46,5,00820,Roihuvuori,Helsinki,178,25.33,Roihuvuori,218.81
5407,2022Q4,Yksiöt,5316.82,2,00840,Yliskylä,Helsinki,125,24.19,Laajasalo,219.79
5599,2022Q4,Yksiöt,4609.17,4,00900,Puotinharju,Helsinki,80,24.71,Puotinharju,186.53
5695,2022Q4,Yksiöt,4676.0,7,00910,Puotila,Helsinki,188,22.81,Puotila,205.0
5791,2022Q4,Yksiöt,4135.57,1,00920,Myllypuro,Helsinki,83,23.2,Myllypuro,178.26
5887,2022Q4,Yksiöt,5062.49,1,00930,Itäkeskus-Marjaniemi,Helsinki,103,24.55,Itäkeskus-Marjaniemi,206.21
5983,2022Q4,Yksiöt,4602.71,4,00940,Kontula-Vesala-Kivikko,Helsinki,600,25.74,Kontula-Vesala,178.82
6175,2022Q4,Yksiöt,5101.92,4,00960,Pohjois-Vuosaari,Helsinki,147,23.95,Pohjois-Vuosaari,213.02
6271,2022Q4,Yksiöt,3462.68,4,00970,Mellunmäki,Helsinki,161,22.04,Mellunmäki,157.11
