,Vuosineljännes,Huoneluku,Neliöhinta (EUR/m2),Lukumäärä_x,Posti,Kaupunginosa_x,Kaupunki,Lukumäärä_y,Neliövuokra (eur/m2),Kaupunginosa_y,difference
0,2015Q1,Yksiöt,6535.0,10,00120,Punavuori-Bulevardi,Helsinki,95,21.52,Punavuori,303.67
1,2015Q2,Yksiöt,6651.0,11,00120,Punavuori-Bulevardi,Helsinki,94,22.45,Punavuori,296.26
2,2015Q3,Yksiöt,7401.0,11,00120,Punavuori-Bulevardi,Helsinki,98,23.29,Punavuori,317.78
3,2015Q4,Yksiöt,6387.0,10,00120,Punavuori-Bulevardi,Helsinki,123,23.35,Punavuori,273.53
4,2016Q1,Yksiöt,6447.0,12,00120,Punavuori-Bulevardi,Helsinki,114,23.32,Punavuori,276.46
5,2016Q2,Yksiöt,7284.0,15,00120,Punavuori-Bulevardi,Helsinki,109,23.77,Punavuori,306.44
6,2016Q3,Yksiöt,6485.0,11,00120,Punavuori-Bulevardi,Helsinki,116,23.15,Punavuori,280.13
7,2016Q4,Yksiöt,6769.0,9,00120,Punavuori-Bulevardi,Helsinki,124,23.42,Punavuori,289.03
8,2017Q1,Yksiöt,7652.53,7,00120,Punavuori-Bulevardi,Helsinki,103,23.34,Punavuori,327.87
9,2017Q2,Yksiöt,7604.0,15,00120,Punavuori-Bulevardi,Helsinki,101,23.57,Punavuori,322.61
10,2017Q3,Yksiöt,8131.0,12,00120,Punavuori-Bulevardi,Helsinki,110,24.63,Punavuori,330.13
11,2017Q4,Yksiöt,7551.0,16,00120,Punavuori-Bulevardi,Helsinki,125,25.4,Punavuori,297.28
12,2018Q1,Yksiöt,7899.0,12,00120,Punavuori-Bulevardi,Helsinki,135,24.65,Punavuori,320.45
13,2018Q2,Yksiöt,7534.0,17,00120,Punavuori-Bulevardi,Helsinki,132,25.04,Punavuori,300.88
14,2018Q3,Yksiöt,7269.0,17,00120,Punavuori-Bulevardi,Helsinki,116,25.05,Punavuori,290.18
15,2018Q4,Yksiöt,8145.0,14,00120,Punavuori-Bulevardi,Helsinki,116,26.54,Punavuori,306.9
16,2019Q1,Yksiöt,8575.0,12,00120,Punavuori-Bulevardi,Helsinki,146,26.65,Punavuori,321.76
17,2019Q2,Yksiöt,8591.0,8,00120,Punavuori-Bulevardi,Helsinki,146,26.88,Punavuori,319.61
18,2019Q3,Yksiöt,8115.0,19,00120,Punavuori-Bulevardi,Helsinki,136,27.45,Punavuori,295.63
